記錄時間,環境溫度 (°C),氣象觀測時間,時間戳 (ms)
2026-06-16 15:40:05,25.8,2026-06-16 15:20:00,1781595605844
2026-06-16 15:48:04,24.3,2026-06-16 15:30:00,1781596084052
2026-06-16 15:58:05,24.1,2026-06-16 15:40:00,1781596685496
2026-06-16 16:08:04,24.1,2026-06-16 15:50:00,1781597284074
2026-06-16 16:18:03,24.2,2026-06-16 16:00:00,1781597883732
2026-06-16 16:28:04,24.3,2026-06-16 16:10:00,1781598484881
2026-06-16 16:38:04,24.3,2026-06-16 16:20:00,1781599084004
2026-06-16 16:48:04,24.3,2026-06-16 16:30:00,1781599684115
2026-06-16 16:58:04,24.4,2026-06-16 16:40:00,1781600284112
2026-06-16 17:08:04,24.4,2026-06-16 16:50:00,1781600884437
2026-06-16 17:18:04,24.5,2026-06-16 17:00:00,1781601484422
2026-06-16 17:28:05,24.5,2026-06-16 17:10:00,1781602085580
2026-06-16 17:38:03,24.6,2026-06-16 17:20:00,1781602683886
2026-06-16 17:48:04,24.7,2026-06-16 17:30:00,1781603284417
2026-06-16 17:58:04,24.8,2026-06-16 17:40:00,1781603884626
2026-06-16 18:08:04,24.8,2026-06-16 17:50:00,1781604484320
2026-06-16 18:18:04,24.9,2026-06-16 18:00:00,1781605084870
2026-06-16 18:28:04,24.8,2026-06-16 18:10:00,1781605684047
2026-06-16 18:38:04,24.7,2026-06-16 18:20:00,1781606284426
2026-06-16 18:48:04,24.6,2026-06-16 18:30:00,1781606884383
2026-06-16 18:58:04,24.6,2026-06-16 18:40:00,1781607484001
2026-06-16 19:08:04,24.5,2026-06-16 18:50:00,1781608084416
2026-06-16 19:18:04,24.5,2026-06-16 19:00:00,1781608684720
2026-06-16 19:28:03,24.6,2026-06-16 19:10:00,1781609283847
2026-06-16 19:38:05,24.6,2026-06-16 19:20:00,1781609885655
2026-06-16 19:48:05,24.6,2026-06-16 19:30:00,1781610485801
2026-06-16 19:58:04,24.6,2026-06-16 19:40:00,1781611084399
2026-06-16 20:08:04,24.6,2026-06-16 19:50:00,1781611684589
2026-06-16 20:18:04,24.5,2026-06-16 20:00:00,1781612284369
2026-06-16 20:28:04,24.5,2026-06-16 20:10:00,1781612884438
2026-06-16 20:38:04,24.5,2026-06-16 20:20:00,1781613484983
2026-06-16 20:48:05,24.4,2026-06-16 20:30:00,1781614085369
2026-06-16 20:58:04,24.3,2026-06-16 20:40:00,1781614684724
2026-06-16 21:08:04,24.3,2026-06-16 20:50:00,1781615284469
2026-06-16 21:18:05,24.2,2026-06-16 21:00:00,1781615885119
2026-06-16 21:28:04,24.2,2026-06-16 21:10:00,1781616484646
2026-06-16 21:38:05,24.3,2026-06-16 21:20:00,1781617085194
2026-06-16 21:48:04,24.3,2026-06-16 21:30:00,1781617684560
2026-06-16 21:58:04,24.3,2026-06-16 21:40:00,1781618284212
2026-06-16 22:08:04,24.3,2026-06-16 21:50:00,1781618884609
2026-06-16 22:18:04,24.3,2026-06-16 22:00:00,1781619484694
2026-06-16 22:28:05,24.3,2026-06-16 22:10:00,1781620085027
2026-06-16 22:38:05,24.3,2026-06-16 22:20:00,1781620685683
2026-06-16 22:48:04,24.4,2026-06-16 22:30:00,1781621284586
2026-06-16 22:58:04,24.4,2026-06-16 22:40:00,1781621884593
2026-06-16 23:08:05,24.5,2026-06-16 22:50:00,1781622485125
2026-06-16 23:18:04,24.6,2026-06-16 23:00:00,1781623084629
2026-06-16 23:28:04,24.8,2026-06-16 23:10:00,1781623684618
2026-06-16 23:38:04,25.0,2026-06-16 23:20:00,1781624284628
2026-06-16 23:48:05,25.0,2026-06-16 23:30:00,1781624885429
2026-06-16 23:58:04,25.0,2026-06-16 23:40:00,1781625484679
