通報時間,溫度設定 (°C),通報環境溫度 (°C),氣象觀測時間,警報狀態,通知狀態
2026-06-16 16:28:05,28.0,24.3,2026-06-16 16:10:00,正常 (未超標),即時觀測更新
2026-06-16 16:38:04,28.0,24.3,2026-06-16 16:20:00,正常 (未超標),即時觀測更新
2026-06-16 16:48:04,28.0,24.3,2026-06-16 16:30:00,正常 (未超標),即時觀測更新
2026-06-16 16:58:04,28.0,24.4,2026-06-16 16:40:00,正常 (未超標),即時觀測更新
2026-06-16 17:08:04,28.0,24.4,2026-06-16 16:50:00,正常 (未超標),即時觀測更新
2026-06-16 17:18:04,28.0,24.5,2026-06-16 17:00:00,正常 (未超標),即時觀測更新
2026-06-16 17:28:06,28.0,24.5,2026-06-16 17:10:00,正常 (未超標),即時觀測更新
2026-06-16 17:38:04,28.0,24.6,2026-06-16 17:20:00,正常 (未超標),即時觀測更新
2026-06-16 17:48:04,28.0,24.7,2026-06-16 17:30:00,正常 (未超標),即時觀測更新
2026-06-16 17:58:05,28.0,24.8,2026-06-16 17:40:00,正常 (未超標),即時觀測更新
2026-06-16 18:08:04,28.0,24.8,2026-06-16 17:50:00,正常 (未超標),即時觀測更新
2026-06-16 18:18:05,28.0,24.9,2026-06-16 18:00:00,正常 (未超標),即時觀測更新
2026-06-16 18:28:04,28.0,24.8,2026-06-16 18:10:00,正常 (未超標),即時觀測更新
2026-06-16 18:38:04,28.0,24.7,2026-06-16 18:20:00,正常 (未超標),即時觀測更新
2026-06-16 18:48:04,28.0,24.6,2026-06-16 18:30:00,正常 (未超標),即時觀測更新
2026-06-16 18:58:04,28.0,24.6,2026-06-16 18:40:00,正常 (未超標),即時觀測更新
2026-06-16 19:08:04,28.0,24.5,2026-06-16 18:50:00,正常 (未超標),即時觀測更新
2026-06-16 19:18:05,28.0,24.5,2026-06-16 19:00:00,正常 (未超標),即時觀測更新
2026-06-16 19:28:04,28.0,24.6,2026-06-16 19:10:00,正常 (未超標),即時觀測更新
2026-06-16 19:38:06,28.0,24.6,2026-06-16 19:20:00,正常 (未超標),即時觀測更新
2026-06-16 19:48:06,28.0,24.6,2026-06-16 19:30:00,正常 (未超標),即時觀測更新
2026-06-16 19:58:04,28.0,24.6,2026-06-16 19:40:00,正常 (未超標),即時觀測更新
2026-06-16 20:08:05,28.0,24.6,2026-06-16 19:50:00,正常 (未超標),即時觀測更新
2026-06-16 20:18:04,28.0,24.5,2026-06-16 20:00:00,正常 (未超標),即時觀測更新
2026-06-16 20:28:04,28.0,24.5,2026-06-16 20:10:00,正常 (未超標),即時觀測更新
2026-06-16 20:38:05,28.0,24.5,2026-06-16 20:20:00,正常 (未超標),即時觀測更新
2026-06-16 20:48:06,28.0,24.4,2026-06-16 20:30:00,正常 (未超標),即時觀測更新
2026-06-16 20:58:05,28.0,24.3,2026-06-16 20:40:00,正常 (未超標),即時觀測更新
2026-06-16 21:08:04,28.0,24.3,2026-06-16 20:50:00,正常 (未超標),即時觀測更新
2026-06-16 21:18:06,28.0,24.2,2026-06-16 21:00:00,正常 (未超標),即時觀測更新
2026-06-16 21:28:05,28.0,24.2,2026-06-16 21:10:00,正常 (未超標),即時觀測更新
2026-06-16 21:38:05,28.0,24.3,2026-06-16 21:20:00,正常 (未超標),即時觀測更新
2026-06-16 21:48:04,28.0,24.3,2026-06-16 21:30:00,正常 (未超標),即時觀測更新
2026-06-16 21:58:04,28.0,24.3,2026-06-16 21:40:00,正常 (未超標),即時觀測更新
2026-06-16 22:08:05,28.0,24.3,2026-06-16 21:50:00,正常 (未超標),即時觀測更新
2026-06-16 22:18:05,28.0,24.3,2026-06-16 22:00:00,正常 (未超標),即時觀測更新
2026-06-16 22:28:05,28.0,24.3,2026-06-16 22:10:00,正常 (未超標),即時觀測更新
2026-06-16 22:38:06,28.0,24.3,2026-06-16 22:20:00,正常 (未超標),即時觀測更新
2026-06-16 22:48:05,28.0,24.4,2026-06-16 22:30:00,正常 (未超標),即時觀測更新
2026-06-16 22:58:05,28.0,24.4,2026-06-16 22:40:00,正常 (未超標),即時觀測更新
2026-06-16 23:08:05,28.0,24.5,2026-06-16 22:50:00,正常 (未超標),即時觀測更新
2026-06-16 23:18:05,28.0,24.6,2026-06-16 23:00:00,正常 (未超標),即時觀測更新
2026-06-16 23:28:05,28.0,24.8,2026-06-16 23:10:00,正常 (未超標),即時觀測更新
2026-06-16 23:38:05,28.0,25.0,2026-06-16 23:20:00,正常 (未超標),即時觀測更新
2026-06-16 23:48:06,28.0,25.0,2026-06-16 23:30:00,正常 (未超標),即時觀測更新
2026-06-16 23:58:05,28.0,25.0,2026-06-16 23:40:00,正常 (未超標),即時觀測更新
2026-06-17 06:08:05,28.0,26.0,2026-06-17 05:50:00,正常 (未超標),即時觀測更新
2026-06-17 06:18:05,28.0,26.1,2026-06-17 06:00:00,正常 (未超標),即時觀測更新
2026-06-17 06:28:05,28.0,26.2,2026-06-17 06:10:00,正常 (未超標),即時觀測更新
2026-06-17 06:38:04,28.0,26.3,2026-06-17 06:20:00,正常 (未超標),即時觀測更新
2026-06-17 06:48:06,28.0,26.4,2026-06-17 06:30:00,正常 (未超標),即時觀測更新
2026-06-17 06:58:06,28.0,26.7,2026-06-17 06:40:00,正常 (未超標),即時觀測更新
2026-06-17 07:08:05,28.0,27.0,2026-06-17 06:50:00,正常 (未超標),即時觀測更新
2026-06-17 07:18:06,28.0,27.2,2026-06-17 07:00:00,正常 (未超標),即時觀測更新
2026-06-17 07:28:05,28.0,27.3,2026-06-17 07:10:00,正常 (未超標),即時觀測更新
2026-06-17 07:38:05,28.0,27.4,2026-06-17 07:20:00,正常 (未超標),即時觀測更新
2026-06-17 07:48:06,28.0,27.6,2026-06-17 07:30:00,正常 (未超標),即時觀測更新
2026-06-17 07:58:05,28.0,27.8,2026-06-17 07:40:00,正常 (未超標),即時觀測更新
2026-06-17 08:08:05,28.0,28.1,2026-06-17 07:50:00,高溫超標警報,即時觀測更新
2026-06-17 08:18:06,28.0,28.8,2026-06-17 08:00:00,高溫超標警報,即時觀測更新
2026-06-17 08:28:05,28.0,29.0,2026-06-17 08:10:00,高溫超標警報,即時觀測更新
2026-06-17 08:38:08,28.0,29.0,2026-06-17 08:20:00,高溫超標警報,即時觀測更新
2026-06-17 08:48:05,28.0,29.1,2026-06-17 08:30:00,高溫超標警報,即時觀測更新
2026-06-17 08:58:05,28.0,29.4,2026-06-17 08:40:00,高溫超標警報,即時觀測更新
2026-06-17 09:08:05,28.0,29.6,2026-06-17 08:50:00,高溫超標警報,即時觀測更新
2026-06-17 09:18:06,28.0,29.6,2026-06-17 09:00:00,高溫超標警報,即時觀測更新
2026-06-17 09:28:23,28.0,30.0,2026-06-17 09:10:00,高溫超標警報,即時觀測更新
2026-06-17 09:38:06,28.0,30.4,2026-06-17 09:20:00,高溫超標警報,即時觀測更新
2026-06-17 09:48:05,28.0,30.7,2026-06-17 09:30:00,高溫超標警報,即時觀測更新
2026-06-17 09:58:04,28.0,30.9,2026-06-17 09:40:00,高溫超標警報,即時觀測更新
2026-06-17 10:08:04,28.0,30.6,2026-06-17 09:50:00,高溫超標警報,即時觀測更新
2026-06-17 10:18:04,28.0,30.7,2026-06-17 10:00:00,高溫超標警報,即時觀測更新
2026-06-17 10:28:04,28.0,30.6,2026-06-17 10:10:00,高溫超標警報,即時觀測更新
2026-06-17 10:38:04,28.0,30.6,2026-06-17 10:20:00,高溫超標警報,即時觀測更新
2026-06-17 10:48:06,28.0,30.9,2026-06-17 10:30:00,高溫超標警報,即時觀測更新
2026-06-17 10:58:03,28.0,31.2,2026-06-17 10:40:00,高溫超標警報,即時觀測更新
