記錄時間,環境溫度 (°C),氣象觀測時間,時間戳 (ms)
2026-06-22 06:08:04,25.0,2026-06-22 05:50:00,1782079684796
2026-06-22 06:18:04,25.8,2026-06-22 06:00:00,1782080284594
2026-06-22 06:28:04,26.6,2026-06-22 06:10:00,1782080884603
2026-06-22 06:38:05,27.5,2026-06-22 06:20:00,1782081485582
2026-06-22 06:48:04,28.3,2026-06-22 06:30:00,1782082084927
2026-06-22 06:58:04,28.7,2026-06-22 06:40:00,1782082684579
2026-06-22 07:08:04,28.9,2026-06-22 06:50:00,1782083284746
2026-06-22 07:18:04,29.0,2026-06-22 07:00:00,1782083884606
2026-06-22 07:28:05,29.2,2026-06-22 07:10:00,1782084485935
2026-06-22 07:38:04,29.4,2026-06-22 07:20:00,1782085084551
2026-06-22 07:48:04,29.4,2026-06-22 07:30:00,1782085684370
2026-06-22 07:58:05,29.7,2026-06-22 07:40:00,1782086285968
2026-06-22 08:08:05,29.8,2026-06-22 07:50:00,1782086885021
2026-06-22 08:18:05,30.2,2026-06-22 08:00:00,1782087485979
2026-06-22 08:28:04,30.3,2026-06-22 08:10:00,1782088084773
2026-06-22 08:38:04,30.3,2026-06-22 08:20:00,1782088684667
2026-06-22 08:48:04,30.0,2026-06-22 08:30:00,1782089284934
2026-06-22 08:58:04,29.9,2026-06-22 08:40:00,1782089884810
2026-06-22 09:08:04,29.7,2026-06-22 08:50:00,1782090484833
2026-06-22 09:18:06,30.5,2026-06-22 09:00:00,1782091086067
2026-06-22 09:28:05,30.5,2026-06-22 09:10:00,1782091685000
2026-06-22 09:38:04,30.9,2026-06-22 09:20:00,1782092284673
2026-06-22 09:48:04,31.0,2026-06-22 09:30:00,1782092884805
2026-06-22 09:58:04,30.9,2026-06-22 09:40:00,1782093484813
2026-06-22 10:08:05,31.2,2026-06-22 09:50:00,1782094085074
2026-06-22 10:18:04,31.1,2026-06-22 10:00:00,1782094684861
2026-06-22 10:28:06,31.5,2026-06-22 10:10:00,1782095286133
2026-06-22 10:38:04,31.5,2026-06-22 10:20:00,1782095884648
2026-06-22 10:48:04,32.0,2026-06-22 10:30:00,1782096484806
2026-06-22 10:58:04,32.3,2026-06-22 10:40:00,1782097084757
2026-06-22 11:08:05,32.5,2026-06-22 10:50:00,1782097685493
2026-06-22 11:18:04,32.7,2026-06-22 11:00:00,1782098284666
2026-06-22 11:28:06,32.6,2026-06-22 11:10:00,1782098886220
2026-06-22 11:38:05,33.1,2026-06-22 11:20:00,1782099485026
2026-06-22 11:48:04,32.8,2026-06-22 11:30:00,1782100084632
2026-06-22 11:58:05,32.9,2026-06-22 11:40:00,1782100685181
2026-06-22 12:08:05,32.9,2026-06-22 11:50:00,1782101285170
2026-06-22 12:18:04,32.5,2026-06-22 12:00:00,1782101884837
2026-06-22 12:28:05,32.5,2026-06-22 12:10:00,1782102485017
2026-06-22 12:38:09,32.5,2026-06-22 12:20:00,1782103089458
2026-06-22 12:48:05,32.3,2026-06-22 12:30:00,1782103685705
2026-06-22 12:58:05,32.2,2026-06-22 12:40:00,1782104285436
2026-06-22 13:08:05,32.8,2026-06-22 12:50:00,1782104885154
2026-06-22 13:18:04,33.0,2026-06-22 13:00:00,1782105484505
2026-06-22 13:28:06,32.8,2026-06-22 13:10:00,1782106086820
2026-06-22 13:38:05,32.7,2026-06-22 13:20:00,1782106685255
