記錄時間,環境溫度 (°C),氣象觀測時間,時間戳 (ms)
2026-06-20 07:08:02,29.2,2026-06-20 06:50:00,1781910482962
2026-06-20 07:18:02,29.2,2026-06-20 07:00:00,1781911082902
2026-06-20 07:28:02,29.0,2026-06-20 07:10:00,1781911682794
2026-06-20 07:38:02,29.2,2026-06-20 07:20:00,1781912282791
2026-06-20 07:48:02,29.4,2026-06-20 07:30:00,1781912882868
2026-06-20 07:58:02,29.8,2026-06-20 07:40:00,1781913482782
2026-06-20 08:08:02,30.1,2026-06-20 07:50:00,1781914082821
2026-06-20 08:18:02,30.3,2026-06-20 08:00:00,1781914682857
2026-06-20 08:28:02,30.3,2026-06-20 08:10:00,1781915282819
2026-06-20 08:38:02,30.1,2026-06-20 08:20:00,1781915882783
2026-06-20 08:48:02,30.0,2026-06-20 08:30:00,1781916482740
2026-06-20 08:58:03,30.2,2026-06-20 08:40:00,1781917083914
2026-06-20 09:08:02,29.8,2026-06-20 08:50:00,1781917682849
2026-06-20 09:18:02,29.7,2026-06-20 09:00:00,1781918282943
2026-06-20 09:28:02,30.1,2026-06-20 09:10:00,1781918882713
2026-06-20 09:38:04,30.7,2026-06-20 09:20:00,1781919484059
2026-06-20 09:48:02,31.2,2026-06-20 09:30:00,1781920082915
2026-06-20 09:58:02,31.8,2026-06-20 09:40:00,1781920682890
2026-06-20 10:08:02,32.0,2026-06-20 09:50:00,1781921282902
2026-06-20 10:18:02,32.0,2026-06-20 10:00:00,1781921882974
2026-06-20 10:28:02,32.4,2026-06-20 10:10:00,1781922482940
2026-06-20 10:38:03,32.4,2026-06-20 10:20:00,1781923083977
2026-06-20 10:48:03,32.4,2026-06-20 10:30:00,1781923683097
2026-06-20 10:58:03,32.4,2026-06-20 10:40:00,1781924283053
2026-06-20 11:08:03,32.4,2026-06-20 10:50:00,1781924883006
2026-06-20 11:18:02,32.6,2026-06-20 11:00:00,1781925482994
2026-06-20 11:28:03,32.6,2026-06-20 11:10:00,1781926083880
2026-06-20 11:38:02,32.8,2026-06-20 11:20:00,1781926682922
2026-06-20 11:48:03,32.8,2026-06-20 11:30:00,1781927283149
2026-06-20 11:58:03,32.8,2026-06-20 11:40:00,1781927883112
2026-06-20 12:08:03,32.8,2026-06-20 11:50:00,1781928483097
2026-06-20 12:18:03,32.4,2026-06-20 12:00:00,1781929083051
2026-06-20 12:28:03,32.5,2026-06-20 12:10:00,1781929683977
2026-06-20 12:38:02,32.7,2026-06-20 12:20:00,1781930282905
2026-06-20 12:48:03,32.7,2026-06-20 12:30:00,1781930883264
2026-06-20 12:58:03,32.7,2026-06-20 12:40:00,1781931483083
2026-06-20 13:08:03,32.7,2026-06-20 12:50:00,1781932083085
2026-06-20 13:18:03,32.8,2026-06-20 13:00:00,1781932683150
2026-06-20 13:28:03,32.7,2026-06-20 13:10:00,1781933283967
2026-06-20 13:38:03,32.6,2026-06-20 13:20:00,1781933883030
2026-06-20 13:48:03,32.7,2026-06-20 13:30:00,1781934483290
2026-06-20 13:58:03,32.6,2026-06-20 13:40:00,1781935083155
2026-06-20 14:08:04,32.2,2026-06-20 13:50:00,1781935684385
2026-06-20 14:18:04,32.0,2026-06-20 14:00:00,1781936284120
2026-06-20 14:28:03,32.1,2026-06-20 14:10:00,1781936883162
2026-06-20 14:38:03,32.3,2026-06-20 14:20:00,1781937483158
2026-06-20 14:48:03,32.4,2026-06-20 14:30:00,1781938083146
