記錄時間,環境溫度 (°C),氣象觀測時間,時間戳 (ms)
2026-06-19 07:08:03,28.9,2026-06-19 06:50:00,1781824083718
2026-06-19 07:18:02,29.0,2026-06-19 07:00:00,1781824682677
2026-06-19 07:28:02,29.5,2026-06-19 07:10:00,1781825282657
2026-06-19 07:38:02,29.7,2026-06-19 07:20:00,1781825882511
2026-06-19 07:48:02,29.8,2026-06-19 07:30:00,1781826482747
2026-06-19 07:58:02,29.9,2026-06-19 07:40:00,1781827082649
2026-06-19 08:08:02,30.2,2026-06-19 07:50:00,1781827682635
2026-06-19 08:18:02,30.3,2026-06-19 08:00:00,1781828282630
2026-06-19 08:28:02,30.3,2026-06-19 08:10:00,1781828882695
2026-06-19 08:38:02,30.2,2026-06-19 08:20:00,1781829482604
2026-06-19 08:48:03,30.2,2026-06-19 08:30:00,1781830083722
2026-06-19 08:58:02,30.2,2026-06-19 08:40:00,1781830682659
2026-06-19 09:08:02,30.5,2026-06-19 08:50:00,1781831282532
2026-06-19 09:18:02,30.6,2026-06-19 09:00:00,1781831882871
2026-06-19 09:28:02,30.7,2026-06-19 09:10:00,1781832482810
2026-06-19 09:38:03,31.1,2026-06-19 09:20:00,1781833083831
2026-06-19 09:48:02,31.3,2026-06-19 09:30:00,1781833682743
2026-06-19 09:58:02,31.5,2026-06-19 09:40:00,1781834282633
2026-06-19 10:08:02,31.8,2026-06-19 09:50:00,1781834882741
2026-06-19 10:18:02,31.8,2026-06-19 10:00:00,1781835482873
2026-06-19 10:28:02,31.9,2026-06-19 10:10:00,1781836082641
2026-06-19 10:38:03,31.8,2026-06-19 10:20:00,1781836683700
2026-06-19 10:48:02,32.0,2026-06-19 10:30:00,1781837282982
2026-06-19 10:58:02,32.2,2026-06-19 10:40:00,1781837882846
2026-06-19 11:08:02,32.0,2026-06-19 10:50:00,1781838482846
2026-06-19 11:18:02,31.9,2026-06-19 11:00:00,1781839082877
2026-06-19 11:28:02,32.1,2026-06-19 11:10:00,1781839682882
2026-06-19 11:38:03,32.2,2026-06-19 11:20:00,1781840283970
2026-06-19 11:48:02,32.0,2026-06-19 11:30:00,1781840882791
2026-06-19 11:58:02,32.2,2026-06-19 11:40:00,1781841482895
2026-06-19 12:08:02,32.1,2026-06-19 11:50:00,1781842082871
2026-06-19 12:18:02,32.0,2026-06-19 12:00:00,1781842682836
2026-06-19 12:28:03,32.1,2026-06-19 12:10:00,1781843283189
2026-06-19 12:38:03,32.2,2026-06-19 12:20:00,1781843883953
2026-06-19 12:48:02,32.3,2026-06-19 12:30:00,1781844482776
2026-06-19 12:58:03,32.3,2026-06-19 12:40:00,1781845083054
2026-06-19 13:08:03,32.1,2026-06-19 12:50:00,1781845683092
2026-06-19 13:18:02,32.3,2026-06-19 13:00:00,1781846282989
2026-06-19 13:28:03,32.4,2026-06-19 13:10:00,1781846883073
2026-06-19 13:38:04,32.5,2026-06-19 13:20:00,1781847484036
2026-06-19 13:48:02,32.5,2026-06-19 13:30:00,1781848082913
2026-06-19 13:58:03,32.3,2026-06-19 13:40:00,1781848683165
2026-06-19 14:08:03,32.4,2026-06-19 13:50:00,1781849283046
2026-06-19 14:18:03,32.2,2026-06-19 14:00:00,1781849883064
2026-06-19 14:28:02,32.2,2026-06-19 14:10:00,1781850482942
2026-06-19 14:38:02,32.0,2026-06-19 14:20:00,1781851082929
2026-06-19 14:48:04,31.6,2026-06-19 14:30:00,1781851684182
2026-06-19 14:58:03,31.8,2026-06-19 14:40:00,1781852283078
2026-06-19 15:08:02,31.7,2026-06-19 14:50:00,1781852882983
2026-06-19 15:18:03,31.7,2026-06-19 15:00:00,1781853483073
2026-06-19 15:28:03,31.7,2026-06-19 15:10:00,1781854083534
2026-06-19 15:38:03,31.6,2026-06-19 15:20:00,1781854683031
2026-06-19 15:48:04,31.7,2026-06-19 15:30:00,1781855284113
2026-06-19 15:58:03,31.6,2026-06-19 15:40:00,1781855883040
2026-06-19 16:08:03,31.2,2026-06-19 15:50:00,1781856483033
2026-06-19 16:18:04,31.1,2026-06-19 16:00:00,1781857084211
2026-06-19 16:28:02,30.7,2026-06-19 16:10:00,1781857682939
2026-06-19 16:38:03,30.5,2026-06-19 16:20:00,1781858283276
2026-06-19 16:48:03,30.5,2026-06-19 16:30:00,1781858883170
2026-06-19 16:58:03,30.5,2026-06-19 16:40:00,1781859483157
2026-06-19 17:08:03,30.3,2026-06-19 16:50:00,1781860083070
2026-06-19 17:18:03,30.1,2026-06-19 17:00:00,1781860683115
2026-06-19 17:28:03,30.0,2026-06-19 17:10:00,1781861283074
2026-06-19 17:38:04,29.9,2026-06-19 17:20:00,1781861884408
2026-06-19 17:48:03,29.7,2026-06-19 17:30:00,1781862483314
2026-06-19 17:58:03,29.5,2026-06-19 17:40:00,1781863083032
2026-06-19 18:08:03,29.4,2026-06-19 17:50:00,1781863683342
2026-06-19 18:18:03,29.3,2026-06-19 18:00:00,1781864283197
2026-06-19 18:28:03,29.2,2026-06-19 18:10:00,1781864883303
2026-06-19 18:38:04,29.0,2026-06-19 18:20:00,1781865484325
2026-06-19 18:48:03,28.8,2026-06-19 18:30:00,1781866083259
2026-06-19 18:58:03,28.7,2026-06-19 18:40:00,1781866683209
2026-06-19 19:08:03,28.5,2026-06-19 18:50:00,1781867283365
2026-06-19 19:18:03,28.4,2026-06-19 19:00:00,1781867883228
2026-06-19 19:28:03,28.3,2026-06-19 19:10:00,1781868483408
2026-06-19 19:38:03,28.2,2026-06-19 19:20:00,1781869083198
2026-06-19 19:48:03,28.1,2026-06-19 19:30:00,1781869683467
2026-06-19 19:58:03,27.9,2026-06-19 19:40:00,1781870283314
2026-06-19 20:08:03,27.7,2026-06-19 19:50:00,1781870883170
2026-06-19 20:18:03,27.6,2026-06-19 20:00:00,1781871483343
2026-06-19 20:28:04,27.6,2026-06-19 20:10:00,1781872084538
2026-06-19 20:38:03,27.5,2026-06-19 20:20:00,1781872683253
2026-06-19 20:48:03,27.4,2026-06-19 20:30:00,1781873283330
2026-06-19 20:58:04,27.2,2026-06-19 20:40:00,1781873884584
2026-06-19 21:08:03,27.1,2026-06-19 20:50:00,1781874483211
2026-06-19 21:18:03,27.1,2026-06-19 21:00:00,1781875083362
2026-06-19 21:28:04,27.0,2026-06-19 21:10:00,1781875684399
2026-06-19 21:38:04,27.0,2026-06-19 21:20:00,1781876284000
2026-06-19 21:48:03,26.9,2026-06-19 21:30:00,1781876883244
2026-06-19 21:58:03,26.9,2026-06-19 21:40:00,1781877483518
2026-06-19 22:08:03,26.8,2026-06-19 21:50:00,1781878083388
2026-06-19 22:18:03,26.7,2026-06-19 22:00:00,1781878683391
2026-06-19 22:28:04,26.7,2026-06-19 22:10:00,1781879284394
2026-06-19 22:38:03,26.6,2026-06-19 22:20:00,1781879883394
2026-06-19 22:48:03,26.6,2026-06-19 22:30:00,1781880483429
2026-06-19 22:58:03,26.5,2026-06-19 22:40:00,1781881083439
2026-06-19 23:08:03,26.4,2026-06-19 22:50:00,1781881683477
2026-06-19 23:18:03,26.4,2026-06-19 23:00:00,1781882283267
2026-06-19 23:28:04,26.3,2026-06-19 23:10:00,1781882884661
2026-06-19 23:38:03,26.2,2026-06-19 23:20:00,1781883483371
2026-06-19 23:48:03,26.1,2026-06-19 23:30:00,1781884083517
2026-06-19 23:58:03,26.1,2026-06-19 23:40:00,1781884683636
